n,partie_imaginaire,T_MAX,methode,n_workers,precision_dps,calcule_le
188,510.26422794367284,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
189,511.5622897003746,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
190,512.6231445314074,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
191,513.6689855554737,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
192,515.4350571672994,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
193,520.1063104117233,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
194,521.525193449492,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
195,522.45669617773,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
196,529.8062263187069,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
197,530.8669178839612,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
198,532.6881830282937,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
199,533.7796307537687,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
200,535.6643140758732,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
201,537.0697590831223,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
202,538.4285261762479,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
203,540.2131663762282,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
204,540.6313902472951,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
205,541.8474371212013,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
206,544.3238901010052,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
207,545.6368332489349,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
208,547.0109120581225,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
209,547.9316133644893,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
210,549.4975675626614,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
211,550.9700100394839,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
212,552.0495722005647,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
213,553.7649721191589,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
214,555.7920205616826,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
215,562.5592076160458,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
216,564.1608791107861,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
217,564.5060559381498,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
218,566.698787682808,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
219,567.7317579011769,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
220,572.4199841324528,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
221,573.6146105267582,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
222,575.093886014495,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
223,575.8072471409288,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
224,577.0390034720982,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
225,581.9465762659017,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
226,583.2360882191673,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
227,584.5617059034655,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
228,585.9845632049884,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
229,586.7427718912502,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
230,588.1396632662479,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
231,592.5713583002255,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
232,593.974714682231,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
233,603.6256189035792,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
234,604.6162184937533,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
235,606.383460422109,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
236,610.8391629377394,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
237,611.7742096208872,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
238,613.5997786756371,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
239,620.2728936722275,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
240,621.7092945279486,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
241,622.3750027397788,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
242,624.2699000181779,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
243,626.0192834276544,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
244,627.268396850783,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
245,628.3258623594604,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
246,632.2251411671159,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
247,633.5468582522518,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
248,635.5238003106055,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
249,637.3971931598373,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
250,637.9255139808225,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
251,638.9279382668567,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
252,640.6947946688256,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
253,641.9454996657054,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
254,643.2788837813978,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
255,644.9905782297479,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
256,646.3481915955016,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
257,655.7094630223556,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
258,656.9640845994606,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
259,658.1756144186054,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
260,659.663845972964,10000.0,RS-detection + Illinois-affinage,4,35,20260517_023027
